name,image_url
Com Tam,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Com_Tam_3CYHC0rgp.jpg
Goi Cuon,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Goi_Cuon_BSXEkyVI4.jpg
Vada Pav,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Vada_Pav_0MU8iuM8C.jpg
Pav Bhaji,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pav_Bhaji_isdb3nS5M.jpg
Dal Makhani,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dal_Makhani_uQYeUgwjo.jpg
Aloo Gobi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aloo_Gobi_xvGyU1Bcs.jpg
Malai Kofta,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Malai_Kofta_dA-YfL6Zt9.jpg
Chicken Tikka,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Tikka_DWJCXXJpW.jpg
Seekh Kebab,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Seekh_Kebab_GjyHDmY_Y.jpg
Kadai Paneer,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kadai_Paneer_wzQwF_tDC.jpg
Jalebi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Jalebi_YoG4mwk04.jpg
Laksa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Laksa_5rv83_qLd.jpg
Char Kway Teow,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Char_Kway_Teow_5WPYXJbxN.jpg
Hainanese Chicken Rice,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Hainanese_Chicken_Rice_6ktjYEiFg.jpg
Chicken Adobo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Adobo_6LlugN-Gi.jpg
Pancit,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pancit_AtxG1G8vn.jpg
Lumpia,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Lumpia_-ITapXM7b.jpg
Green Tea,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Green_Tea_U9pwFVkql.jpg
Bubble Tea,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bubble_Tea_bzLsRPqGy.jpg
Thai Iced Tea,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Thai_Iced_Tea_gNbjhFQVu.jpg
Mango Lassi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mango_Lassi_3F-44lktf.jpg
Coconut Water,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Coconut_Water_hvdxW1DlH.jpg
Mochi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mochi_z-HE32duXl.jpg
Kulfi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kulfi_Hx-4KcA4wp.jpg
Halo-Halo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Halo-Halo_4TnGSQ34x.jpg
Dorayaki,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dorayaki_zkr089IDX.jpg
Unagi Don,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Unagi_Don__ilSUtfUS.jpg
Beef Chow Fun,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Beef_Chow_Fun_CzNWw-mR4.jpg

Khasi Ko Masu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Khasi_Ko_Masu_aRz8gGwkx.jpg
Buff Ko Masu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Ko_Masu_gVV9jMWuo.jpg
Has Ko Masu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Has_Ko_Masu_ov3iWK0ARc.jpg
Machha Ko Jhol,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Machha_Ko_Jhol_WFnlLvA35.jpg
Machha Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Machha_Ko_Achar_TIZ15imIK.jpg
Fish Sekuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Fish_Sekuwa_Lx7YaMH99.jpg
Bhindi Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bhindi_Ko_Tarkari_OpV4okqsK.jpg
Farsi Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Farsi_Ko_Tarkari_RmQ2up3gAh.jpg
Ghiraula Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Ghiraula_Ko_Tarkari_CylmSBwAe.jpg
Iskus Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Iskus_Ko_Tarkari_eu6jia7W4.jpg
Cauli Aloo Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Cauli_Aloo_Ko_Tarkari_AzKe0zAQR.jpg
Aam Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aam_Ko_Achar_2h3GWZvwiI.jpg
Khalpi Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Khalpi_Ko_Achar_Dyx3HmEPH.jpg
Makai Ko Roti,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Makai_Ko_Roti_vWF08Ob6d.jpg
Kachori,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kachori_Gnq6brv7z.jpg
Dahi Bara,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dahi_Bara_nx_Eeyo2N.jpg
Chicken Sandwich,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Sandwich_mntrzKDhD.jpg
Club Sandwich,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Club_Sandwich_tibl8cGFx.jpg
Veg Sandwich,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Veg_Sandwich_YZYB3b1Qk.jpg
Fried Chicken (KFC-style),https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Fried_Chicken_KFC-style__smbZvyLWe.jpg
Hot Dog,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Hot_Dog_IgweXcKJpi.jpg
Veg Burger,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Veg_Burger_AbCchrg-MV.jpg
